Cluster label;Neighborhoods;City;Latitude;Longitude
5;16th Street Heights;Arlington/DC;38.95031455125326;-77.03355856392005
5;23rd & Union/Jackson;Seattle;47.6128661;-122.3018346
5;Adams Morgan;Arlington/DC;38.9204721985137;-77.04239110687887
5;Admiral;Seattle;47.5811953;-122.3865457
1;Alcova Heights;Arlington/DC;38.8645566;-77.0972006
3;American University Park;Arlington/DC;38.94761163681309;-77.09024957173517
2;Arboretum;Arlington/DC;38.91485975626041;-76.97248974817899
5;Arlington Forest;Arlington/DC;38.8688556;-77.1130838
1;Arlington Heights;Arlington/DC;38.8695566;-77.0922005
2;Arlington Ridge;Arlington/DC;40.9840435;-81.4939385
2;Arlington View / Johnson's Hill;Arlington/DC;38.86307935;-77.0725928623003
5;Arverne;New York;40.58914394372971;-73.79199233136943
5;Astoria Heights;New York;40.7703173929982;-73.89467996270574
5;Astoria;New York;40.76850859335492;-73.91565374304234
5;Auburndale;New York;40.76172954903262;-73.79176243728061
9;Aurora Hills;Arlington/DC;38.8515014;-77.0641441
5;Aurora-Licton Springs;Seattle;47.6038321;-122.3300624
14;Ballard;Seattle;47.6765073;-122.3862233
5;Ballston;Arlington/DC;38.8831218;-77.1100937
5;Barcroft;Arlington/DC;38.8559457;-77.1038675
14;Barnaby Woods;Arlington/DC;38.9754334348612;-77.06017447830173
5;Barry Farm;Arlington/DC;38.859255263491534;-76.99728050562214
5;Battery Park City;New York;40.71193198394565;-74.01686930508617
5;Bay Terrace;New York;40.782842806245554;-73.7768022262158
5;Bayside;New York;40.76604063281064;-73.7742736306867
14;Bayswater;New York;40.611321691283834;-73.76596781445627
5;Beacon Hill;Seattle;47.57925785;-122.311597687327
5;Beechhurst;New York;40.79278140360048;-73.80436451720988
5;Bellaire;New York;40.73301404027834;-73.73889198912481
5;Belle Harbor;New York;40.57615556543109;-73.8540175039252
5;Bellerose;New York;40.72857318176675;-73.72012814826903
14;Bellevue Forest;Arlington/DC;38.9142781;-77.1135898
5;Bellevue;Arlington/DC;38.82695244796175;-77.00927075597909
5;Belltown;Seattle;47.6132311;-122.3453607
1;Benning Ridge;Arlington/DC;38.88116150367999;-76.9382027137017
1;Benning;Arlington/DC;38.8918848983153;-76.9488836259651
5;Bitter Lake/Broadview;Seattle;47.7266451;-122.352272142764
2;Blissville;New York;40.73725071694497;-73.93244235260178
5;Bloomingdale;Arlington/DC;38.918226429529625;-77.01115933643987
14;Bluemont;Arlington/DC;38.8747413;-77.1330288
14;Bonair;Arlington/DC;38.876033;-77.1334529500661
14;Brandon Village;Arlington/DC;38.8756676;-77.1158122
5;Breezy Point;New York;40.55740128845452;-73.92551196994168
5;Brentwood;Arlington/DC;38.91897727650217;-76.98703521741281
5;Briarwood;New York;40.71093547252271;-73.81174822458634
5;Brightwood Park;Arlington/DC;38.955747648001044;-77.02487138764226
5;Brightwood;Arlington/DC;38.966379339718145;-77.0268743128998
6;Broad Channel;New York;40.60302658351238;-73.8200548911032
0;Brookland;Arlington/DC;38.93140439499242;-76.98441358760304
6;Brookville;New York;40.66000322733613;-73.75175310731153
5;Buckingham;Arlington/DC;38.8734454;-77.1066453
14;Burleith/Hillandale;Arlington/DC;38.91500299474047;-77.07456576076558
5;Burrville;Arlington/DC;38.90024298823647;-76.9218024691646
5;Buzzard Point;Arlington/DC;38.86830011900484;-77.01142454582654
5;Cambria Heights;New York;40.692774639160845;-73.73526873708026
5;Capitol Hill;Arlington/DC;38.88362075620049;-76.99847748485064
5;Capitol Hill;Seattle;47.6238307;-122.3183689
14;Capitol View;Arlington/DC;38.889978450529775;-76.92708590272986
5;Cardozo/Shaw;Arlington/DC;38.917168293762415;-77.02755011047827
5;Carlin Springs;Arlington/DC;38.87717845;-77.1117832094381
5;Carnegie Hill;New York;40.7826825671257;-73.95325646837112
5;Carver;Arlington/DC;38.902465255609776;-76.97784979043001
5;Cathedral Heights;Arlington/DC;38.93427241534092;-77.07986042773018
5;Central Harlem;New York;40.81597606742414;-73.94321112603905
14;Central NE;Arlington/DC;38.89703454669097;-76.94227676132306
5;Chelsea;New York;40.744034706747975;-74.00311633472813
5;Cherrydale;Arlington/DC;38.8970561;-77.1083119
5;Chevy Chase;Arlington/DC;38.963146467074644;-77.06647761286521
5;Chinatown;Arlington/DC;38.89915119868195;-77.02013526672475
5;Chinatown;New York;40.71561842231432;-73.99427936255978
5;Chinatown-International District;Seattle;47.5991746;-122.3232294
5;Civic Center;New York;40.71522892046282;-74.00541529873355
5;Claremont;Arlington/DC;38.8431682;-77.1047009
5;Clarendon;Arlington/DC;38.8857615;-77.0969711
5;Cleveland Park;Arlington/DC;38.93609787383701;-77.06440173810678
5;Clinton;New York;40.75910089146212;-73.99611936309479
5;College Point;New York;40.784902749260205;-73.84304528896125
5;Colonial Village;Arlington/DC;38.98678956099613;-77.04109381168755
5;Columbia City;Seattle;47.5579124;-122.2852162
5;Columbia Forest;Arlington/DC;38.8540013;-77.1102566
5;Columbia Heights;Arlington/DC;38.8576123;-77.1210902
5;Columbia Heights;Arlington/DC;38.92800828972707;-77.03058603150897
1;Congress Heights;Arlington/DC;38.84107730532858;-76.9979499289274
5;Corona;New York;40.74238175015667;-73.85682497345258
10;Country Club Hills;Arlington/DC;38.9140002;-77.1308124
14;Crescent Hills;Arlington/DC;38.9048337;-77.1458128
5;Crown Hill;Seattle;47.6947154;-122.3714586
5;Crystal City;Arlington/DC;38.8579043;-77.0502898
1;Crystal Gateway;Arlington/DC;38.9209448;-76.9635861
5;Deanwood;Arlington/DC;38.904107274131924;-76.93280088733603
5;Delridge;Seattle;47.5521233;-122.3638741
9;Dominion Hills;Arlington/DC;38.8759453;-77.1410906
14;Donaldson Run;Arlington/DC;38.9150538;-77.1104113
5;Douglas Park;Arlington/DC;38.85308745;-77.0973286553782
5;Douglass;Arlington/DC;38.847571455385946;-76.9796445653942
5;Douglaston;New York;40.76684609790763;-73.7424982072733
5;Downtown Commercial Core;Seattle;47.6048723;-122.3334582
5;Downtown East;Arlington/DC;38.895428165429735;-77.01423369334653
5;Downtown;Arlington/DC;38.90052614561425;-77.0291745178521
5;Dupont Circle;Arlington/DC;38.91212810242126;-77.0409837054581
1;Dupont Park;Arlington/DC;38.872630406051;-76.96281842500115
5;East Elmhurst;New York;40.76407323883091;-73.86704147658772
1;East Falls Church;Arlington/DC;38.887334;-77.1544242
5;East Harlem;New York;40.79224946663033;-73.94418223148524
5;East Village;New York;40.727846777270244;-73.98222616506416
5;Eastlake;Seattle;47.6431448;-122.32617211691
2;Eastland Gardens;Arlington/DC;38.9053294023028;-76.94307039405045
5;Eckington;Arlington/DC;38.91520183747434;-77.00042542625856
5;Edgemere;New York;40.595641807368494;-73.77613282391705
5;Edgewood;Arlington/DC;38.92519887310453;-77.00073929508545
5;Elmhurst;New York;40.744048505122024;-73.88165622288388
1;Fairfax Village;Arlington/DC;38.86345267410768;-76.95163006291861
1;Fairlawn;Arlington/DC;38.86915849606393;-76.97745177825578
5;Fairlington;Arlington/DC;38.8326151;-77.0897028
5;Far Rockaway;New York;40.603134432500894;-73.75497968043872
5;Financial District;New York;40.70710710727048;-74.0106654452127
5;First Hill;Seattle;47.6093053;-122.3249839
5;Flatiron;New York;40.739673047638426;-73.9909471052826
5;Floral Park;New York;40.741378421945434;-73.70884705889246
5;Flushing;New York;40.76445419697846;-73.83177300329582
5;Foggy Bottom;Arlington/DC;38.89902171207632;-77.05243626536243
5;Forest Hills Gardens;New York;40.7146110815117;-73.8410221123401
5;Forest Hills;Arlington/DC;38.9509441;-77.0580329
5;Forest Hills;Arlington/DC;38.9468927145206;-77.05846164119156
5;Forest Hills;New York;40.72526378216503;-73.84447500788983
1;Fort Davis Park;Arlington/DC;38.86890118735893;-76.94466983618473
1;Fort Dupont;Arlington/DC;38.886016698773204;-76.95068458458051
5;Fort Lincoln;Arlington/DC;38.92360980706972;-76.95474878272576
1;Fort McNair;Arlington/DC;38.866943321918725;-77.0164381045477
5;Fort Myer Heights;Arlington/DC;38.877461;-77.0808279984826
14;Fort Stanton;Arlington/DC;38.85565772985085;-76.9803477047982
14;Fort Totten;Arlington/DC;38.94942994289768;-77.00812808607654
5;Foxhall Crescents;Arlington/DC;38.92048649791375;-77.09276674542565
14;Foxhall Village;Arlington/DC;38.91324713179952;-77.08440713115483
5;Fremont;Seattle;47.6504529;-122.3499861
5;Fresh Meadows;New York;40.7343944653313;-73.78271337003264
5;Friendship Heights;Arlington/DC;38.95690678503812;-77.08385440725932
5;Garden City;Arlington/DC;38.9001116;-77.1352571
14;Garfield Heights;Arlington/DC;38.85408512359541;-76.9722132672998
1;Gateway;Arlington/DC;38.919756837216646;-76.96384570973444
5;George Washington University;Arlington/DC;38.89962773751697;-77.04792844348081
14;Georgetown Reservoir;Arlington/DC;38.909637127714575;-77.09067742028716
5;Georgetown;Arlington/DC;38.90955580568958;-77.06479560436642
5;Georgetown;Seattle;47.5489326;-122.3300573
5;Glen Oaks;New York;40.74944079974332;-73.71548118999145
1;Glencarlyn;Arlington/DC;38.8617789;-77.1291459
5;Glendale;New York;40.70276242967838;-73.87074167435605
5;Glover Park;Arlington/DC;38.92153082245585;-77.07573751898771
5;Golden Triangle;Arlington/DC;38.90295184757285;-77.04113385532665
5;Gramercy;New York;40.737209832715;-73.98137594833541
8;Grant Park;Arlington/DC;38.89270650020377;-76.92063843666463
5;Green Lake;Seattle;47.6801546;-122.3240935
5;Greenbrier;Arlington/DC;38.90110675;-77.1412416843229
7;Greenway;Arlington/DC;38.8847875072312;-76.96018092542619
5;Greenwich Village;New York;40.72693288536128;-73.99991402945902
5;Greenwood-Phinney Ridge;Seattle;47.6909806;-122.3548773
5;Hamilton Heights;New York;40.823604284811935;-73.94968791883366
5;Hammels;New York;40.58733774018741;-73.80553002968718
2;Hawthorne;Arlington/DC;38.98088256433763;-77.0559344515967
5;High View Park / Halls Hill;Arlington/DC;38.8937692;-77.1267374393176
3;Hill East;Arlington/DC;38.88333000364374;-76.97995066236219
5;Hillcrest;Arlington/DC;38.86179449398219;-76.96068825123437
5;Hillcrest;New York;40.723824901829204;-73.79760300912672
1;Hillsdale;Arlington/DC;38.8584233567812;-76.99056102362486
5;Historic Anacostia;Arlington/DC;38.863185708444206;-76.98467764278494
5;Hollis;New York;40.71124344191904;-73.75925009335594
5;Holliswood;New York;40.7209572076444;-73.76714166714729
5;Howard Beach;New York;40.65422527738487;-73.8381376460028
5;Howard University;Arlington/DC;38.92235481669714;-77.01961026604755
5;Hudson Yards;New York;40.75665808227519;-74.00011136202637
5;Hunters Point;New York;40.743414090073536;-73.95386782130745
5;Inwood;New York;40.86768396449915;-73.92121042203897
2;Ivy City;Arlington/DC;38.910389476020974;-76.99162688609057
5;Jackson Heights;New York;40.75198138007367;-73.88282109164365
5;Jamaica Center;New York;40.70465736068717;-73.79690165888289
5;Jamaica Estates;New York;40.71680483014613;-73.7872269693666
5;Jamaica Hills;New York;40.71145964370482;-73.79646462081593
14;Judkins Park;Seattle;47.5914702;-122.304068903085
2;Kalorama Heights;Arlington/DC;38.91566043818069;-77.05119470837411
14;Kenilworth;Arlington/DC;38.91067875955148;-76.9385859830867
5;Kew Gardens Hills;New York;40.722578244228046;-73.82087764933566
5;Kew Gardens;New York;40.7051790354148;-73.82981905825703
14;Kingman Park;Arlington/DC;38.89488656736725;-76.97843657588342
1;Knox Hill/Buena Vista;Arlington/DC;38.853688057048174;-76.96766003225294
5;Lake City;Seattle;47.7191619;-122.2954939
1;Lamond Riggs;Arlington/DC;38.96506972916149;-77.00644505186627
14;Langdon;Arlington/DC;38.924016958336395;-76.97468945823927
5;Langston;Arlington/DC;38.90133625806893;-76.97236709081533
5;Lanier Heights;Arlington/DC;38.9252488302934;-77.04269354435881
5;Lauderdale;Arlington/DC;30.3550453;-81.5678593
14;Laurelton;New York;40.66788389660247;-73.74025607989822
5;Le Droit Park;Arlington/DC;38.91683159569856;-77.01760455069554
5;Lee Heights;Arlington/DC;38.902056;-77.117201
5;Lefrak City;New York;40.736074570830795;-73.8625247141374
5;Lenox Hill;New York;40.76811265828733;-73.9588596881376
1;Lincoln Heights;Arlington/DC;38.895805171270226;-76.93109655579529
14;Lincoln Park;Arlington/DC;38.8872106971694;-76.98970995551635
5;Lincoln Square;New York;40.77352888942166;-73.98533777001262
5;Lindenwood;New York;40.66391841925139;-73.84963782402441
5;Little Italy;New York;40.71932379395907;-73.99730467208073
5;Little Neck;New York;40.7708261928267;-73.7388977558074
5;Logan Circle/Shaw;Arlington/DC;38.90981631009259;-77.02534037429646
5;Long Island City;New York;40.75021734610528;-73.93920223915505
5;Lower East Side;New York;40.71780674892765;-73.98089031999291
5;Lyon Park;Arlington/DC;38.8804358;-77.0898529
4;Madison Manor;Arlington/DC;38.8803897;-77.1472019
5;Madison-Miller;Seattle;47.62501025;-122.292933116449
14;Magnolia;Seattle;47.6489369;-122.3931153
5;Malba;New York;40.79060155670148;-73.82667757138641
5;Manhattan Valley;New York;40.797307041702865;-73.96428617740655
5;Manhattanville;New York;40.8169344294978;-73.9573853935188
1;Manor Park;Arlington/DC;38.96206164434112;-77.01265712051499
5;Marble Hill;New York;40.87655077879964;-73.91065965862981
3;Marshall Heights;Arlington/DC;38.88437194262267;-76.9291217158443
5;Maspeth;New York;40.725427374093606;-73.89621713626859
5;Mass. Ave. Heights;Arlington/DC;38.92539875943093;-77.07007461872719
3;Mayfair;Arlington/DC;38.90111564359632;-76.95129459304076
5;Maywood;Arlington/DC;38.8973688;-77.1002477126358
5;McLean Gardens;Arlington/DC;38.9361512461899;-77.07529572388134
9;Michigan Park;Arlington/DC;38.94693414169425;-76.98377195796877
5;Middle Village;New York;40.716414511158185;-73.88114319200604
5;Midtown South;New York;40.7485096643122;-73.98871313285247
5;Midtown;New York;40.75469110270623;-73.98166882730304
5;Montlake;Seattle;47.6414082;-122.3030441
5;Monumental Core;Arlington/DC;38.88446305846155;-77.03733447530519
5;Morgan Junction;Seattle;47.6258687;-122.321648655033
5;Morningside Heights;New York;40.807999738165826;-73.96389627905332
5;Mount Pleasant;Arlington/DC;38.93174149197539;-77.04065588741197
5;Mount Vernon Square;Arlington/DC;38.903547909956;-77.01988467352479
5;Murray Hill;New York;40.748303077252174;-73.97833207924127
5;Murray Hill;New York;40.764126122614066;-73.81276269135866
11;NE Boundary;Arlington/DC;38.89545081858584;-76.91738942775073
5;Nauck;Arlington/DC;38.8475349;-77.0877741
5;Navy Yard;Arlington/DC;38.87426841343142;-76.99846164625667
1;Naylor Gardens;Arlington/DC;38.8567244280196;-76.96304602706665
5;Near Northeast;Arlington/DC;38.902374790483115;-76.99973389187906
5;Near Southeast;Arlington/DC;38.87838447023769;-77.00062710407684
12;Neponsit;New York;40.572036730217015;-73.85754672410827
4;New Dover;Arlington/DC;38.9067782;-77.1058118
5;Noho;New York;40.72325901885768;-73.98843368023597
5;North Capitol Street;Arlington/DC;38.90253215958516;-77.01127534795664
13;North Cleveland Park;Arlington/DC;38.94787867243101;-77.0717735636203
5;North Corona;New York;40.7540709990489;-73.85751790676447
2;North Michigan Park;Arlington/DC;38.94564415929117;-76.99366629242557
5;North Portal Estates;Arlington/DC;38.99176497916726;-77.04087665039941
5;North Rainier / Mount Baker;Seattle;47.5213887;-122.3189721
5;Northgate;Seattle;47.7131534;-122.3212307
5;Oakland Gardens;New York;40.74561857141855;-73.75494976234332
5;Old Glebe/Prospect House;Arlington/DC;38.8903961;-77.0841585
5;Othello;Seattle;47.5379894;-122.281582781848
5;Ozone Park;New York;40.680708468265415;-73.84320266173447
5;Palisades;Arlington/DC;38.929807667891815;-77.1035203764898
5;Park View;Arlington/DC;38.93460425701977;-77.02144426862472
1;Penn Branch;Arlington/DC;38.86956017680945;-76.95342386054298
5;Penn Quarter;Arlington/DC;38.895370447012155;-77.0221806499499
1;Penrose;Arlington/DC;38.86859395;-77.0830772422831
5;Pentagon City;Arlington/DC;38.8619206;-77.0596308
5;Petworth;Arlington/DC;38.943039128222935;-77.02401732816698
5;Pioneer Square;Seattle;47.60213935;-122.333927450455
1;Pleasant Hill;Arlington/DC;38.941079187574466;-77.00480354473595
5;Pleasant Plains;Arlington/DC;38.92947296868293;-77.02310099994638
5;Pomonok;New York;40.73493618075478;-73.80486120040537
5;Queen Anne;Seattle;47.6394805;-122.3607453
1;Queens Chapel;Arlington/DC;38.956070016813676;-76.99659057027709
5;Queens Village;New York;40.718893092167356;-73.73871484578424
5;Queensboro Hill;New York;40.7445723092867;-73.82580915110559
2;Queensbridge;New York;40.756091297094706;-73.94563070334091
5;Rainier Beach;Seattle;47.5230762;-122.270288
5;Randle Highlands;Arlington/DC;38.86933565244978;-76.96580364366558
5;Randolph Square;Arlington/DC;38.8404301;-77.0891516242107
5;Ravenswood;New York;40.761704526054146;-73.93157506072878
5;Rego Park;New York;40.72897409480735;-73.8578268690537
5;Richmond Hill;New York;40.69794731471763;-73.83183321446887
5;Ridgewood;New York;40.70832315613858;-73.90143517559589
14;River Terrace;Arlington/DC;38.89370454724494;-76.9576806573048
14;Rivercrest;Arlington/DC;38.9220556;-77.1191454
5;Rochdale;New York;40.67521139591733;-73.77258787620906
5;Rockaway Beach;New York;40.582801696845586;-73.82236121088751
5;Rockaway Park;New York;40.58034295646131;-73.84153370226186
5;Roosevelt Island;New York;40.76215960576283;-73.94916769227953
5;Roosevelt;Seattle;47.6773046;-122.313807096056
5;Rosedale;New York;40.659816433428084;-73.73526079428278
5;Rosslyn;Arlington/DC;38.8967784;-77.0724777
5;Roxbury;New York;40.56737588957032;-73.89213760232822
5;Sand Point;Seattle;47.6823594;-122.2643122
1;Shepherd Park;Arlington/DC;38.98298005193635;-77.03212571097302
1;Shipley;Arlington/DC;38.846860131535614;-76.9729023408822
5;Skyland;Arlington/DC;38.86026695882556;-76.97170298158721
5;Soho;New York;40.72218384131794;-74.00065666959759
4;Somerville;New York;40.59771061565768;-73.79664750844047
14;South Central;Arlington/DC;38.92398546549667;-76.96504311566365
14;South Jamaica;New York;40.696911253789885;-73.7904261313554
5;South Lake Union;Seattle;47.6231611;-122.3383816
14;South Ozone Park;New York;40.66854957767195;-73.80986478649041
14;South Park;Seattle;47.5264675;-122.3229131
5;Southwest Employment Area;Arlington/DC;38.88501656916563;-77.02031687123363
5;Southwest/Waterfront;Arlington/DC;38.877908360755185;-77.01690295848637
7;Spring Valley;Arlington/DC;38.939311383789615;-77.09672423981804
5;Springfield Gardens;New York;40.666230490368584;-73.76042092682287
5;St. Albans;New York;40.69444538522359;-73.75867603727717
1;Stanton Park;Arlington/DC;38.89489781845006;-76.9942417153158
5;Steinway;New York;40.775923015642896;-73.90228960391673
14;Stronghold;Arlington/DC;38.92577558252443;-77.0077674102066
5;Stuyvesant Town;New York;40.73099955477061;-73.97405170469203
5;Sunnyside Gardens;New York;40.74565180608076;-73.91819286431682
5;Sunnyside;New York;40.74017628351924;-73.92691617561577
5;Sutton Place;New York;40.76028033131374;-73.96355614094303
5;Takoma;Arlington/DC;38.97646159454483;-77.02155829933827
4;Tara;Arlington/DC;38.8903895;-77.1349793
5;Tenleytown;Arlington/DC;38.94712740265178;-77.0801630898145
5;Tribeca;New York;40.721521967443216;-74.01068328559087
5;Trinidad;Arlington/DC;38.90846245479223;-76.98273699045667
5;Truxton Circle;Arlington/DC;38.909667306156784;-77.01239415642593
5;Tudor City;New York;40.746917410740195;-73.97121928722265
5;Turtle Bay;New York;40.75204236950722;-73.96770824581834
1;Twining;Arlington/DC;38.87558790539442;-76.96084720641474
5;University District;Seattle;47.6612984;-122.3131523
5;University Heights;Arlington/DC;38.938248761904866;-76.99576150173392
5;Upper East Side;New York;40.775638573301805;-73.96050763135
5;Upper West Side;New York;40.787657998534854;-73.97705923630603
5;Uptown;Seattle;47.62404005;-122.358979883457
5;Utopia;New York;40.73350025429757;-73.79671678028349
5;Van Ness;Arlington/DC;38.943390584989054;-77.06610638993935
5;Wallingford;Seattle;47.6594631;-122.3343417
5;Washington Heights;New York;40.85190252555305;-73.93690027985234
5;Washington Highlands;Arlington/DC;38.830237415020825;-76.99563620528409
5;Wesley Heights;Arlington/DC;38.929980815374115;-77.08832491138406
2;West End;Arlington/DC;38.90555033782052;-77.05188246593173
5;West Seattle Junction;Seattle;47.5709315;-122.3865166
5;West Village;New York;40.73443393572434;-74.00617998126812
5;Westmont;Arlington/DC;38.8626123;-77.0919227
5;Westover;Arlington/DC;38.8870562;-77.1394238
5;Westwood Village / Roxhill-Highland Park;Seattle;47.52207665;-122.367262362724
5;Whitestone;New York;40.78129076602694;-73.81420216610863
5;Williamsburg Village;Arlington/DC;38.9051115;-77.1549797
5;Williamsburg;Arlington/DC;38.91581415;-77.0380052781411
5;Woodhaven;New York;40.68988687915789;-73.8581104655432
14;Woodland;Arlington/DC;38.85655424558111;-76.97392560915742
5;Woodland-Normanstone;Arlington/DC;38.922850003796405;-77.0607534689037
5;Woodley Park;Arlington/DC;38.927265323965614;-77.05748294972793
1;Woodridge;Arlington/DC;38.93402103249321;-76.96863953124206
5;Woodside;New York;40.74634908860222;-73.90184166838284
5;Yorkville;New York;40.775929849884875;-73.94711784471826
